№,Модель,Цена,Фото
50,Сотовый телефон Apple iPhone 12 128GB синий,"
59590 сом
",/images/product/85012/1643526361_96879600.png
51,Сотовый телефон Xiaomi Redmi 10C 4/64GB синий,"
11250 сом
",/images/product/105236/1649421688_26701400.jpg
52,Сотовый телефон Apple iPhone 12 128GB зеленый,"
59590 сом
",/images/product/85013/1643526404_67562500.png
53,Сотовый телефон Apple iPhone 12 128GB белый,"
59590 сом
",/images/product/85014/1643526452_17028900.png
54,Сотовый телефон Samsung Galaxy A13 4G 4/128GB черный,"
14800 сом
",/images/product/105240/1649532350_74060700.jpg
55,Сотовый телефон Samsung Galaxy A13 4G 3/32GB голубой,"
12700 сом
",/images/product/105241/1649532506_24827200.jpg
56,Сотовый телефон Samsung Galaxy A13 4G 3/32GB черный,"
12700 сом
",/images/product/105242/1649532588_48971800.jpg
57,Сотовый телефон Xiaomi Redmi 10C 4/64GB серый,"
11250 сом
",/images/product/105498/1650368060_68248100.jpg
58,Сотовый телефон Xiaomi Poco M4 Pro 5G 8/256GB черный,"
19240 сом
",/images/product/105499/1650368612_87789400.png
59,Сотовый телефон Nokia 230 Dual Sim белый,"
4980 сом
",/images/product/42779/42779.jpg
60,Сотовый телефон Xiaomi Redmi A1 Plus 2/32 зеленый,"
7740 сом
",/images/product/113445/1667905147_64028800.jpg
61,Сотовый телефон Apple iPhone 13 Pro Max 256GB зеленый,"
107180 сом
",/images/product/104490/1647674948_37575000.png
62,Сотовый телефон Xiaomi Redmi Note 11S 6/128GB синий,"
17920 сом
",/images/product/103211/1647068431_46332300.jpg
63,Сотовый телефон Apple iPhone 13 Pro 256GB зеленый,"
108050 сом
",/images/product/104491/1647674899_77661000.png
64,Сотовый телефон Xiaomi Redmi Note 11S 6/128GB серый,"
17920 сом
",/images/product/103212/1647068464_47045900.jpg
65,Сотовый телефон Xiaomi Redmi Note 11S 6/64GB серый,"
16460 сом
",/images/product/103213/1644315300_18447500.jpg
66,Сотовый телефон Xiaomi 11T 8/128GB голубой,"
27320 сом
",/images/product/101936/1640702993_52034600.jpg
